Lat	Long	Year	Month	Day	Depth	Temp	Salinity	Oxygen	pH
30.018	-86.022	1998	5	12	14.4	4.798	NA	NA	NA
29.8518	-86.1657	1998	5	12	9.3	5.178	NA	NA	NA
29.6838	-86.3103	1998	5	12	2.6	5.21	NA	NA	NA
29.4967	-86.4742	1998	5	12	21.2	5.185	NA	NA	NA
28.7587	-90.2352	1998	5	12	0	27.322	NA	NA	NA
28.7895	-90.2777	1998	5	12	0	27.352	NA	NA	NA
29.3127	-86.6325	1998	5	12	16.9	5.144	NA	NA	NA
28.8293	-90.3997	1998	5	12	0	26.54	NA	NA	NA
29.1324	-86.7879	1998	5	12	17.8	5.071	NA	NA	NA
28.8557	-90.46	1998	5	12	0	24.306	NA	NA	NA
28.9836	-86.9171	1998	5	12	14.3	5.004	NA	NA	NA
28.8697	-90.4672	1998	5	12	0	23.896	NA	NA	NA
28.8272	-87.0527	1998	5	12	25.8	5.048	NA	NA	NA
28.9147	-90.4865	1998	5	12	0	23.429	NA	NA	NA
28.6536	-87.2026	1998	5	12	25	36.093	5.139	NA	NA
28.9497	-90.524	1998	5	12	0	24.034	NA	NA	NA
28.9905	-90.5197	1998	5	12	0	24.095	NA	NA	NA
29.0565	-90.5322	1998	5	12	0	23.729	NA	NA	NA
29.057	-87.2091	1998	5	12	25	36.11	5.033	NA	NA
29.2766	-87.1036	1998	5	12	19.8	5.065	NA	NA	NA
29.5683	-87.3552	1998	5	13	24.3	5.112	NA	NA	NA
29.4693	-87.0098	1998	5	13	23.8	5.027	NA	NA	NA
29.6073	-86.9425	1998	5	13	9.2	5.155	NA	NA	NA
29.7291	-86.8839	1998	5	13	20.1	5.126	NA	NA	NA
29.8806	-86.8122	1998	5	13	11	5.083	NA	NA	NA
30.0252	-86.7411	1998	5	13	13.9	4.993	NA	NA	NA
30.2034	-86.6549	1998	5	13	12.5	4.027	NA	NA	NA
30.3655	-86.5783	1998	5	13	7	35.729	3.865	NA	NA
30.2826	-87.3507	1998	5	13	5.1	35.255	3.998	NA	NA
30.2163	-87.3501	1998	5	13	7.1	4.809	NA	NA	NA
29.9791	-87.3505	1998	5	13	15.1	4.365	NA	NA	NA
29.7291	-87.3502	1998	5	13	22.2	4.186	NA	NA	NA
29.5378	-87.3525	1998	5	14	19	5.06	NA	NA	NA
29.3744	-87.3339	1998	5	14	31.3	5.163	NA	NA	NA
29.1889	-87.3518	1998	5	14	28.6	36.121	5.04	NA	NA
28.6617	-88.9025	1998	5	14	18.8	36.124	4.984	NA	NA
